,user.followers_count,user.friends_count,user.listed_count,user.favourites_count,user.verified,created_at,full_text,id,sentiment
26,1659,2144,88,183710,False,Wed Jun 09 20:41:56 +0000 2021,"Who would have thought the $GME execs were just insider suits that would eventually turn on us and short ladder attack us @BagholderQuotes 

https://t.co/V4HpBc52QQ",1402727684921298946,-0.4215
84,1644,689,17,14029,False,Wed Jun 09 20:40:51 +0000 2021,"@YahooFinance @SPYJared $GME 👉🏽GameStop

❌Unstable revenue growth
❌Low gross margin (25%)
❌Unprofitable business
❌Negative profit margin
❌Negative ROIC
❌Negative ROE
❌Unstable cash flows
❌None-moat business

Let’s see if new management improves $GME fundamentals.",1402727413268758528,0.7717
71,1395,77,34,1092,False,Wed Jun 09 20:41:03 +0000 2021,$GME Ohhh… these bulls. Really I’m a BULL and BEAR. I play both sides of the field all day. Never get held up on one side. That’s how you lose your entire account. https://t.co/Q6OrV8LFBU,1402727463864655876,-0.0817
37,1352,22,29,7651,False,Wed Jun 09 20:41:44 +0000 2021,"$GME backtesting triangle breakout.

Totally normal, would like 278 to hold. https://t.co/ZXu1nsbIyO",1402727635541651459,0.6771
22,1268,193,8,22266,False,Wed Jun 09 20:42:01 +0000 2021,"@GMEshortsqueeze thinking of cashing one of my 5 call options...
getting me to 1800 $GME Stonks :)))",1402727705766989826,0.0
23,1248,7,13,30,False,Wed Jun 09 20:42:00 +0000 2021,GAMESTOP RECEIVED REQUEST FROM SEC STAFF ON MAY 26: 10-Q $GME,1402727703564935169,0.0
29,1181,1149,26,22836,False,Wed Jun 09 20:41:53 +0000 2021,"RT @livfast87: Source: https://t.co/sqeNo2q2Xi
#NakedShorting #GME #AMC #amcshortsqueeze #AMCAPES #FinancialTreason",1402727674188083206,0.0
80,1156,2576,45,27305,False,Wed Jun 09 20:40:53 +0000 2021,"RT @InvestmentYoung: @CEOAdam ADAM LFG, $GME ANNOUNCED MORE VOTES THAN POSSIBLE $AMC ANNOUNCED THAT RETAIL OWNS THE FLOAT LFG",1402727420252225536,0.0
73,1156,2576,45,27305,False,Wed Jun 09 20:41:00 +0000 2021,"RT @OleJusta: I don't know about you apes, but I've had a hell of a rough week! This week has made it more apparent that we need to focus o…",1402727451579408385,-0.8268
76,1089,1350,21,3238,False,Wed Jun 09 20:40:58 +0000 2021,"RT @The_Real_Fly: GameStop announces Matt Furlong as CEO and Mike Recupero as CFO $GME

Both join from Amazon $AMZN",1402727444700876806,0.4404
